zams_mass_1,zams_mass_2,zams_separation_rsun,metallicity,delay_time_myr,mass_1,mass_2,stellar_type_1,stellar_type_2
25.4374,23.5542,1735.8411051459282,0.0029082809839751293,3373.7048,7.54997,4.48617,14,14
28.1042,27.915,1042.1367745338484,0.0010211532151708522,384.87291,5.68624,5.29747,14,14
59.3627,58.9623,74.64800047069255,0.0006050875007272942,52.71014,20.2618,2.15312,14,14
21.9041,21.7567,1337.9422270637026,0.0003585464728475101,468.64272,7.44841,3.7283,14,14
51.117,21.1273,417.794811479893,0.004908051271653857,8400.7754,7.61252,2.38772,14,14
34.306,23.4433,3193.8152112564344,0.004908051271653857,7617.2058,8.78872,3.12862,14,14
44.0167,16.4204,129.76219665576107,0.0010211532151708522,841.4578,11.3566,2.75392,14,14
39.8399,33.1271,2475.0026726186475,0.0006050875007272942,1772.79921,12.0655,9.12724,14,14
31.0507,14.948,359.426725037478,0.00012589254117941674,144.1269,9.30211,10.6441,14,14
34.306,16.9719,372.68214817967316,0.0006050875007272942,34.3664,9.4623,10.1755,14,14
32.6378,30.2194,6393.938191531525,0.0010211532151708522,653.0278,12.1023,6.29139,14,14
138.533,38.4498,451.1030663971285,0.0006050875007272942,11.8362,50.8969,12.0585,14,14
29.5407,29.3418,1059.598091730256,0.0006050875007272942,199.06685,6.96121,6.51796,14,14
24.2005,18.501,350.62500930011373,0.0010211532151708522,152.1693,4.29495,7.25044,14,14
34.306,14.6607,410.0726296040933,0.0003585464728475101,164.1682,10.6225,10.4386,14,14
36.0595,16.3789,138.29108166759548,0.00021245782310305673,28.7708,11.9185,11.1363,14,14
29.5407,17.0085,562.5042688076894,0.0003585464728475101,133.4952,8.01982,9.95876,14,14
26.7376,10.3591,1415.955450478356,0.0010211532151708522,33.3576,5.77183,3.20994,14,14
41.8762,17.8831,852.8726192127922,0.0017233109056135083,2008.8399,8.4781,2.6232,14,14
29.5407,23.3741,1276.6385402879798,0.00021245782310305673,224.9318,15.59,9.98864,14,14
34.306,34.0749,1244.4819986116968,0.00021245782310305673,39.46483,11.6463,11.0382,14,14
23.0236,22.2492,2635.5716867776196,0.00012589254117941674,136.8894,12.2222,3.37628,14,14
41.8762,30.3031,9340.746106658422,0.0010211532151708522,116.70049,10.8461,5.31389,14,14
41.8762,15.625,432.6328311883245,0.0029082809839751293,1364.3441,6.87253,3.35601,14,14
31.0507,30.005,1339.011488133635,0.0006050875007272942,14.37212,8.5524,9.7373,14,14
48.6313,37.8101,317.9372203916509,0.0029082809839751293,13219.55354,9.70061,10.7715,14,14
24.2005,13.9415,734.3168468750363,0.0010211532151708522,581.485,4.62636,5.32418,14,14
32.6378,30.2194,2940.226079418863,0.0006050875007272942,21.20623,12.3011,7.41188,14,14
36.0595,16.8649,193.51950331225524,0.0017233109056135083,62.3006,6.68072,6.18633,14,14
24.2005,21.4322,500.0896845648571,0.00012589254117941674,239.6936,6.98327,11.2907,14,14
25.4374,22.8694,711.028916837375,0.00012589254117941674,2378.705,9.68969,10.8226,14,14
41.8762,21.8349,500.22313563330033,0.0017233109056135083,137.07705,8.48597,5.03052,14,14
31.0507,18.294,513.2977320537348,0.00021245782310305673,402.0749,11.0232,12.9268,14,14
25.4374,16.3639,199.87905775864303,0.0010211532151708522,146.297,4.39945,6.71586,14,14
31.0507,14.948,287.88162446946933,0.00012589254117941674,59.6836,9.15653,10.401,14,14
48.6313,38.466,4092.5520861248497,0.0029082809839751293,4154.22068,9.69484,6.01755,14,14
251.97,206.02,182.69973276052312,0.0010211532151708522,10441.39045,43.7493,4.32005,14,14
