z,R_BBH_Gpc3_yr
2.000000000000000111e-01,6.752196355665101635e+01
6.000000000000000888e-01,1.046023164858121106e+02
1.000000000000000000e+00,1.477530685388792620e+02
1.400000000000000133e+00,1.940544454357864481e+02
1.800000000000000044e+00,2.375451337713959958e+02
2.200000000000000178e+00,2.698426211392853702e+02
2.600000000000000533e+00,2.845020307553163548e+02
3.000000000000000000e+00,2.795043550240377499e+02
3.400000000000000355e+00,2.583007739682299189e+02
3.799999999999999822e+00,2.276429785420181986e+02
4.200000000000000178e+00,1.940824777336292470e+02
4.600000000000000533e+00,1.620370224668090202e+02
5.000000000000000000e+00,1.336620754317675051e+02
5.400000000000000355e+00,1.094898416918933037e+02
5.800000000000000711e+00,8.935301172318283136e+01
6.200000000000000178e+00,7.268378736763318670e+01
